"","gamma","b","m","pt_shape","ft_t_shape","ft_t_theta","gt_t_shape","gt_t_theta","ATE_t","ATE_t_empirical","ASPNC_t","ASPNC_t_empirical","AvgTau_t","tau_t_shape","tau_t_theta","beta_t0","beta_t1","beta_t2","alpha_t0","alpha_t1","alpha_t2","p","q","ft_w_shape","ft_w_theta","gt_w_shape","gt_w_theta","beta_w0","beta_w1","beta_w2","alpha_w0","alpha_w1","alpha_w2","ATE_w","ATE_w_empirical","ASPNC_w","ASPNC_w_empirical","AvgTau_w","tau_w_shape","tau_w_theta","p_w","q_w","n","AvgTau_tw_ratio","power_unadj","power_adj","typeierror_unadj","typeierror_adj"
"904",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999655,0.6,"sine",-0.2,0.262364264467491,NA,NA,-0.829243282842297,-0.0252561405941816,NA,1,2,"constant",0,"linear_theta",-0.3,0.262364264467491,NA,NA,-0.829741020383333,-0.025271300113198,NA,1.3,1.3,0.3,0.299999999999644,0.666666666666667,"sine",-0.2,1,2,46,0.9,0.772,0.7565,0.0495,0.046
"905",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999655,0.6,"sine",-0.2,0.262364264467491,0,NA,-0.829243282842297,-0.0252561405941816,NA,2,2,"linear_theta",0,"linear_theta",-0.3,0.262364264467491,0,NA,-0.829741020383333,-0.025271300113198,NA,1.3,1.3,0.3,0.299999999999644,0.666666666666667,"sine",-0.2,2,2,56,0.9,0.7515,0.7315,0.044,0.0365
"908",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",-0.3,1.3,1.2999999999923,0.3,0.299999999999655,0.6,"sine",-0.2,0.33421047707525,-0.00523567327010835,NA,-0.829243282842297,-0.0252561405941816,NA,2,2,"linear_theta",0.3,"linear_theta",-0.3,0.334011114890491,-0.0052325501027231,NA,-0.829741020383333,-0.025271300113198,NA,1.3,1.29999999999223,0.3,0.299999999999644,0.666666666666667,"sine",-0.2,2,2,53,0.9,0.7645,0.7435,0.0485,0.0405
"911",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",-0.3,1.3,1.29999999999546,0.3,0.300000000000101,0.6,"sine",-0.2,0.177145472838715,0.00539529358899641,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",-0.3,"quadratic_theta",-0.3,0.177194681421345,0.00539679232755367,NA,-1.87494258609605,0.119707996572167,-0.0038615482765215,1.3,1.29999999999548,0.3,0.300000000000102,0.666666666666667,"sine",-0.2,2,3,56,0.9,0.7545,0.732,0.0485,0.038
"912",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.416607810764102,-0.0265988338804163,0.000858026899368269,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",-0.3,"quadratic_theta",-0.3,0.4165678655955,-0.0265962835323995,0.000857944630077404,-1.87494258609605,0.119707996572167,-0.0038615482765215,1.3,1.3,0.3,0.300000000000102,0.666666666666667,"sine",-0.2,3,3,65,0.9,0.765,0.7415,0.0455,0.0365
"913",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,1,3,"constant",0,"quadratic_theta",-0.3,0.262364264467491,NA,NA,-1.87494258609605,0.119707996572167,-0.0038615482765215,1.3,1.3,0.3,0.300000000000102,0.666666666666667,"sine",-0.2,1,3,46,0.9,0.775,0.7545,0.052,0.046
"914",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,NA,-1.87494258609605,0.119707996572167,-0.0038615482765215,1.3,1.3,0.3,0.300000000000102,0.666666666666667,"sine",-0.2,2,3,57,0.9,0.773,0.753,0.057,0.048
"915",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,0,0,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,0,-1.87494258609605,0.119707996572167,-0.0038615482765215,1.3,1.3,0.3,0.300000000000102,0.666666666666667,"sine",-0.2,3,3,64,0.9,0.7535,0.725,0.0475,0.04
"917",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999583,0.3,0.300000000000101,0.6,"sine",-0.2,0.346333386338067,-0.00542558829772428,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",0.3,"quadratic_theta",-0.3,0.346235467480972,-0.00542405432085073,NA,-1.87494258609605,0.119707996572167,-0.0038615482765215,1.3,1.29999999999581,0.3,0.300000000000102,0.666666666666667,"sine",-0.2,2,3,56,0.9,0.761,0.738,0.0485,0.038
"918",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999404,0.3,0.300000000000101,0.6,"sine",-0.2,0.14198421427318,0.0204444078612823,-0.000659497027783301,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",0.3,"quadratic_theta",-0.3,0.141993967988891,0.0204458123057355,-0.00065954233244308,-1.87494258609605,0.119707996572167,-0.0038615482765215,1.3,1.29999999999405,0.3,0.300000000000102,0.666666666666667,"sine",-0.2,3,3,61,0.9,0.7635,0.742,0.0515,0.04
"922",0.05,0.2,30,"constant 0.5","constant",0,"constant",0,1.3,1.3,0.3,0.3,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1,1,"constant",0,"constant",0,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1.3,1.3,0.3,0.3,0.666666666666667,"sine",-0.2,1,1,47,0.9,0.776,0.759,0.0515,0.046
"929",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0,1.3,1.29999999999454,0.3,0.300000000000001,0.6,"sine",-0.2,0.176499787241293,0.00537562803780587,NA,-1.20397280432593,0,NA,2,2,"linear_theta",-0.3,"linear_theta",0,0.176597870777336,0.00537861535362446,NA,-1.20397280432593,0,NA,1.3,1.29999999999458,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,2,2,57,0.9,0.7635,0.74,0.0505,0.046
"931",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1,2,"constant",0,"linear_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,1,2,47,0.9,0.779,0.763,0.051,0.046
"932",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0,"linear_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,2,2,58,0.9,0.7705,0.7575,0.0405,0.034
"935",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0,1.3,1.29999999999535,0.3,0.300000000000001,0.6,"sine",-0.2,0.347007048788297,-0.00543614175647462,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0.3,"linear_theta",0,0.346810323130343,-0.00543305989238136,NA,-1.20397280432593,0,NA,1.3,1.29999999999531,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,2,2,57,0.9,0.762,0.743,0.0505,0.046
"938",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0,1.3,1.29999999999454,0.3,0.300000000000001,0.6,"sine",-0.2,0.176499787241293,0.00537562803780587,NA,-1.20397280432593,0,0,2,3,"linear_theta",-0.3,"quadratic_theta",0,0.176597870777336,0.00537861535362446,NA,-1.20397280432593,0,0,1.3,1.29999999999458,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,2,3,57,0.9,0.762,0.739,0.0525,0.044
"939",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.396006735475736,-0.0252835330982535,0.000815597841879144,-1.20397280432593,0,0,3,3,"quadratic_theta",-0.3,"quadratic_theta",0,0.395961278974479,-0.0252806308724803,0.000815504221692912,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,3,3,64,0.9,0.761,0.739,0.047,0.0385
"940",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,0,1,3,"constant",0,"quadratic_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,1,3,47,0.9,0.7765,0.7585,0.0515,0.045
"941",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,0,2,3,"linear_theta",0,"quadratic_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,2,3,58,0.9,0.773,0.754,0.0395,0.035
"942",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,0,-1.20397280432593,0,0,3,3,"quadratic_theta",0,"quadratic_theta",0,0.262364264467491,0,0,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,3,3,67,0.9,0.7645,0.742,0.0435,0.036
"944",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0,1.3,1.29999999999535,0.3,0.300000000000001,0.6,"sine",-0.2,0.347007048788297,-0.00543614175647462,NA,-1.20397280432593,0,0,2,3,"linear_theta",0.3,"quadratic_theta",0,0.346810323130343,-0.00543305989238136,NA,-1.20397280432593,0,0,1.3,1.29999999999531,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,2,3,57,0.9,0.7605,0.741,0.0525,0.044
"945",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.147672857651773,0.0212635196618772,-0.000685919989092811,-1.20397280432593,0,0,3,3,"quadratic_theta",0.3,"quadratic_theta",0,0.147686550057985,0.021265491241173,-0.000685983588424936,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"sine",-0.2,3,3,65,0.9,0.771,0.753,0.0485,0.0405
"956",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0.3,1.3,1.29999999999094,0.3,0.299999999999398,0.6,"sine",-0.2,0.169975727064817,0.0051769256974056,NA,-1.6312616455079,0.0255550127233613,NA,2,2,"linear_theta",-0.3,"linear_theta",0.3,0.170066766436862,0.00517969847015822,NA,-1.63031650900577,0.0255402064074011,NA,1.3,1.29999999999101,0.3,0.299999999999413,0.666666666666667,"sine",-0.2,2,2,53,0.9,0.76,0.7375,0.0405,0.035
"958",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0.3,1.3,1.3,0.3,0.299999999999398,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.6312616455079,0.0255550127233613,NA,1,2,"constant",0,"linear_theta",0.3,0.262364264467491,NA,NA,-1.63031650900577,0.0255402064074011,NA,1.3,1.3,0.3,0.299999999999413,0.666666666666667,"sine",-0.2,1,2,46,0.9,0.7805,0.7645,0.0545,0.045
"959",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0.3,1.3,1.3,0.3,0.299999999999398,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.6312616455079,0.0255550127233613,NA,2,2,"linear_theta",0,"linear_theta",0.3,0.262364264467491,0,NA,-1.63031650900577,0.0255402064074011,NA,1.3,1.3,0.3,0.299999999999413,0.666666666666667,"sine",-0.2,2,2,56,0.9,0.758,0.7425,0.055,0.0505
"962",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0.3,1.3,1.3,0.3,0.299999999999398,0.6,"sine",-0.2,0.361096920441551,-0.00565687081631672,NA,-1.6312616455079,0.0255550127233613,NA,2,2,"linear_theta",0.3,"linear_theta",0.3,0.360884408047389,-0.00565354164042906,NA,-1.63031650900577,0.0255402064074011,NA,1.3,1.3,0.3,0.299999999999413,0.666666666666667,"sine",-0.2,2,2,57,0.9,0.7685,0.7485,0.052,0.045
"965",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0.3,1.3,1.29999999999343,0.3,0.299999999999088,0.6,"sine",-0.2,0.175716864439802,0.00535178267329346,NA,-0.693983050233373,-0.0999271123231334,0.00322345523623011,2,3,"linear_theta",-0.3,"quadratic_theta",0.3,0.175877563679526,0.0053566770663815,NA,-0.694057056275642,-0.0999377685057244,0.00322379898405563,1.3,1.2999999999935,0.3,0.299999999999084,0.666666666666667,"sine",-0.2,2,3,54,0.9,0.778,0.7535,0.047,0.0405
"966",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999088,0.6,"sine",-0.2,0.377978255641446,-0.024132482811056,0.00077846718745342,-0.693983050233373,-0.0999271123231334,0.00322345523623011,3,3,"quadratic_theta",-0.3,"quadratic_theta",0.3,0.377930591268197,-0.0241294396210022,0.00077836902003233,-0.694057056275642,-0.0999377685057244,0.00322379898405563,1.3,1.3,0.3,0.299999999999084,0.666666666666667,"sine",-0.2,3,3,58,0.9,0.784,0.7585,0.046,0.038
"967",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999088,0.6,"sine",-0.2,0.262364264467491,NA,NA,-0.693983050233373,-0.0999271123231334,0.00322345523623011,1,3,"constant",0,"quadratic_theta",0.3,0.262364264467491,NA,NA,-0.694057056275642,-0.0999377685057244,0.00322379898405563,1.3,1.3,0.3,0.299999999999084,0.666666666666667,"sine",-0.2,1,3,46,0.9,0.7685,0.751,0.0525,0.047
"968",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999088,0.6,"sine",-0.2,0.262364264467491,0,NA,-0.693983050233373,-0.0999271123231334,0.00322345523623011,2,3,"linear_theta",0,"quadratic_theta",0.3,0.262364264467491,0,NA,-0.694057056275642,-0.0999377685057244,0.00322379898405563,1.3,1.3,0.3,0.299999999999084,0.666666666666667,"sine",-0.2,2,3,57,0.9,0.7565,0.7355,0.052,0.045
"969",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999088,0.6,"sine",-0.2,0.262364264467491,0,0,-0.693983050233373,-0.0999271123231334,0.00322345523623011,3,3,"quadratic_theta",0,"quadratic_theta",0.3,0.262364264467491,0,0,-0.694057056275642,-0.0999377685057244,0.00322379898405563,1.3,1.3,0.3,0.299999999999084,0.666666666666667,"sine",-0.2,3,3,64,0.9,0.7425,0.7195,0.0515,0.04
"971",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0.3,1.3,1.29999999999491,0.3,0.299999999999088,0.6,"sine",-0.2,0.347989147515444,-0.00545152711512445,NA,-0.693983050233373,-0.0999271123231334,0.00322345523623011,2,3,"linear_theta",0.3,"quadratic_theta",0.3,0.347662473214147,-0.0054464095020493,NA,-0.694057056275642,-0.0999377685057244,0.00322379898405563,1.3,1.29999999999484,0.3,0.299999999999084,0.666666666666667,"sine",-0.2,2,3,55,0.9,0.7625,0.747,0.0525,0.0445
"972",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999088,0.6,"sine",-0.2,0.153696955821333,0.022130933836089,-0.000713901091486742,-0.693983050233373,-0.0999271123231334,0.00322345523623011,3,3,"quadratic_theta",0.3,"quadratic_theta",0.3,0.153714562235163,0.0221334689961218,-0.000713982870842638,-0.694057056275642,-0.0999377685057244,0.00322379898405563,1.3,1.3,0.3,0.299999999999084,0.666666666666667,"sine",-0.2,3,3,65,0.9,0.758,0.74,0.045,0.0365
"983",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999538,0.6,"constant",0,0.184643858019286,0.00562367080261785,NA,-0.834218851417824,-0.0254076807538424,NA,2,2,"linear_theta",-0.3,"linear_theta",-0.3,0.184643858019286,0.00562367080261786,NA,-0.834218851417824,-0.0254076807538424,NA,1.3,1.3,0.3,0.299999999999538,0.666666666666667,"constant",0,2,2,57,0.9,0.7735,0.754,0.049,0.042
"985",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999538,0.6,"constant",0,0.262364264467491,NA,NA,-0.834218851417824,-0.0254076807538424,NA,1,2,"constant",0,"linear_theta",-0.3,0.262364264467491,NA,NA,-0.834218851417824,-0.0254076807538424,NA,1.3,1.3,0.3,0.299999999999538,0.666666666666667,"constant",0,1,2,46,0.9,0.7665,0.746,0.0455,0.042
"986",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999538,0.6,"constant",0,0.262364264467491,0,NA,-0.834218851417824,-0.0254076807538424,NA,2,2,"linear_theta",0,"linear_theta",-0.3,0.262364264467491,0,NA,-0.834218851417824,-0.0254076807538424,NA,1.3,1.3,0.3,0.299999999999538,0.666666666666667,"constant",0,2,2,56,0.9,0.7695,0.7495,0.049,0.045
"989",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",-0.3,1.3,1.29999999999159,0.3,0.299999999999538,0.6,"constant",0,0.332245620415579,-0.00520489222583153,NA,-0.834218851417824,-0.0254076807538424,NA,2,2,"linear_theta",0.3,"linear_theta",-0.3,0.332245620415579,-0.00520489222583153,NA,-0.834218851417824,-0.0254076807538424,NA,1.3,1.29999999999159,0.3,0.299999999999538,0.666666666666667,"constant",0,2,2,53,0.9,0.774,0.758,0.0465,0.039
"992",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",-0.3,1.3,1.29999999999564,0.3,0.300000000000103,0.6,"constant",0,0.177638447989872,0.00541030806060524,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",-0.3,"quadratic_theta",-0.3,0.177638447989872,0.00541030806060524,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.29999999999564,0.3,0.300000000000103,0.666666666666667,"constant",0,2,3,56,0.9,0.759,0.737,0.052,0.043
"993",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"constant",0,0.416209331636903,-0.0265733924944526,0.00085720620949847,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",-0.3,"quadratic_theta",-0.3,0.416209331636903,-0.0265733924944526,0.000857206209498471,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.666666666666667,"constant",0,3,3,65,0.9,0.7485,0.727,0.0505,0.042
"994",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"constant",0,0.262364264467491,NA,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1,3,"constant",0,"quadratic_theta",-0.3,0.262364264467491,NA,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.666666666666667,"constant",0,1,3,46,0.9,0.769,0.752,0.0445,0.0375
"995",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"constant",0,0.262364264467491,0,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.666666666666667,"constant",0,2,3,57,0.9,0.7725,0.754,0.053,0.0445
"996",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"constant",0,0.262364264467491,0,0,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,0,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.666666666666667,"constant",0,3,3,64,0.9,0.7665,0.742,0.057,0.0465
"998",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999564,0.3,0.300000000000103,0.6,"constant",0,0.345357997868635,-0.00541030806060524,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",0.3,"quadratic_theta",-0.3,0.345357997868635,-0.00541030806060524,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.29999999999564,0.3,0.300000000000103,0.666666666666667,"constant",0,2,3,56,0.9,0.7645,0.7455,0.052,0.043
"999",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999408,0.3,0.300000000000103,0.6,"constant",0,0.142081677989225,0.0204584417309819,-0.000659949733257481,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",0.3,"quadratic_theta",-0.3,0.142081677989225,0.0204584417309819,-0.000659949733257482,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.29999999999408,0.3,0.300000000000103,0.666666666666667,"constant",0,3,3,61,0.9,0.7785,0.7565,0.0515,0.0405
"1003",0.05,0.2,30,"constant 0.5","constant",0,"constant",0,1.3,1.3,0.3,0.3,0.6,"constant",0,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1,1,"constant",0,"constant",0,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1.3,1.3,0.3,0.3,0.666666666666667,"constant",0,1,1,47,0.9,0.7795,0.7595,0.0615,0.058
"1010",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0,1.3,1.29999999999494,0.3,0.300000000000001,0.6,"constant",0,0.177483385791244,0.00540558535404804,NA,-1.20397280432593,0,NA,2,2,"linear_theta",-0.3,"linear_theta",0,0.177483385791244,0.00540558535404804,NA,-1.20397280432593,0,NA,1.3,1.29999999999494,0.3,0.300000000000001,0.666666666666667,"constant",0,2,2,56,0.9,0.7395,0.7195,0.048,0.0395
"1012",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"constant",0,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1,2,"constant",0,"linear_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"constant",0,1,2,47,0.9,0.777,0.7565,0.061,0.0585
"1013",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"constant",0,0.262364264467491,0,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0,"linear_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"constant",0,2,2,58,0.9,0.7715,0.7515,0.0505,0.0445
"1016",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0,1.3,1.29999999999494,0.3,0.300000000000001,0.6,"constant",0,0.345056531766733,-0.00540558535404804,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0.3,"linear_theta",0,0.345056531766733,-0.00540558535404804,NA,-1.20397280432593,0,NA,1.3,1.29999999999494,0.3,0.300000000000001,0.666666666666667,"constant",0,2,2,56,0.9,0.763,0.746,0.048,0.0395
"1019",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0,1.3,1.29999999999494,0.3,0.300000000000001,0.6,"constant",0,0.177483385791244,0.00540558535404804,NA,-1.20397280432593,0,0,2,3,"linear_theta",-0.3,"quadratic_theta",0,0.177483385791244,0.00540558535404804,NA,-1.20397280432593,0,0,1.3,1.29999999999494,0.3,0.300000000000001,0.666666666666667,"constant",0,2,3,56,0.9,0.741,0.717,0.0485,0.04
"1020",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"constant",0,0.395553978131988,-0.0252546262533424,0.000814665363011045,-1.20397280432593,0,0,3,3,"quadratic_theta",-0.3,"quadratic_theta",0,0.395553978131988,-0.0252546262533424,0.000814665363011045,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"constant",0,3,3,64,0.9,0.772,0.7505,0.0525,0.0435
"1021",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"constant",0,0.262364264467491,NA,NA,-1.20397280432593,0,0,1,3,"constant",0,"quadratic_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"constant",0,1,3,47,0.9,0.7765,0.756,0.0615,0.058
"1022",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"constant",0,0.262364264467491,0,NA,-1.20397280432593,0,0,2,3,"linear_theta",0,"quadratic_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"constant",0,2,3,58,0.9,0.769,0.7515,0.049,0.043
"1023",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"constant",0,0.262364264467491,0,0,-1.20397280432593,0,0,3,3,"quadratic_theta",0,"quadratic_theta",0,0.262364264467491,0,0,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"constant",0,3,3,66,0.9,0.765,0.7425,0.048,0.0405
"1025",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0,1.3,1.29999999999494,0.3,0.300000000000001,0.6,"constant",0,0.345056531766733,-0.00540558535404804,NA,-1.20397280432593,0,0,2,3,"linear_theta",0.3,"quadratic_theta",0,0.345056531766733,-0.00540558535404804,NA,-1.20397280432593,0,0,1.3,1.29999999999494,0.3,0.300000000000001,0.666666666666667,"constant",0,2,3,56,0.9,0.762,0.7445,0.0485,0.04
"1026",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"constant",0,0.14780952408058,0.0212831983580321,-0.000686554785742971,-1.20397280432593,0,0,3,3,"quadratic_theta",0.3,"quadratic_theta",0,0.147809524080581,0.0212831983580321,-0.000686554785742971,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.666666666666667,"constant",0,3,3,64,0.9,0.7685,0.7485,0.0525,0.0435
