"","gamma","b","m","pt_shape","ft_t_shape","ft_t_theta","gt_t_shape","gt_t_theta","ATE_t","ATE_t_empirical","ASPNC_t","ASPNC_t_empirical","AvgTau_t","tau_t_shape","tau_t_theta","beta_t0","beta_t1","beta_t2","alpha_t0","alpha_t1","alpha_t2","p","q","ft_w_shape","ft_w_theta","gt_w_shape","gt_w_theta","beta_w0","beta_w1","beta_w2","alpha_w0","alpha_w1","alpha_w2","ATE_w","ATE_w_empirical","ASPNC_w","ASPNC_w_empirical","AvgTau_w","tau_w_shape","tau_w_theta","p_w","q_w","n","AvgTau_tw_ratio"
"129",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.395553978131988,-0.0252546262533424,0.000814665363011044,-1.20397280432593,0,0,3,3,"quadratic_theta",-0.3,"quadratic_theta",0,0.395553978131988,-0.0252546262533424,0.000814665363011045,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,3,3,57,0.8
"130",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,0,1,3,"constant",0,"quadratic_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,1,3,42,0.8
"131",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,0,2,3,"linear_theta",0,"quadratic_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,2,3,52,0.8
"132",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,0,0,-1.20397280432593,0,0,3,3,"quadratic_theta",0,"quadratic_theta",0,0.262364264467491,0,0,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,3,3,60,0.8
"134",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.357751578690776,-0.00560446337374584,NA,-1.20397280432593,0,0,2,3,"linear_theta",0.3,"quadratic_theta",0,0.355128409373729,-0.00556336933744745,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,2,3,51,0.8
"135",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.147809524080581,0.0212831983580321,-0.000686554785742972,-1.20397280432593,0,0,3,3,"quadratic_theta",0.3,"quadratic_theta",0,0.147809524080581,0.0212831983580321,-0.000686554785742972,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,3,3,58,0.8
"146",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0.3,1.3,1.29999999998748,0.3,0.299999999998052,0.6,"linear",-0.2,0.165496074770097,0.00504048958690652,NA,-1.68229096946365,0.0263544277200572,NA,2,2,"linear_theta",-0.3,"linear_theta",0.3,0.166507658272537,0.00507129923672703,NA,-1.67006784119298,0.0261629426818743,NA,1.3,1.29999999998836,0.3,0.29999999999848,0.75,"linear",-0.2,2,2,48,0.8
"148",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0.3,1.3,1.3,0.3,0.299999999998052,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.68229096946365,0.0263544277200572,NA,1,2,"constant",0,"linear_theta",0.3,0.262364264467491,NA,NA,-1.67006784119298,0.0261629426818743,NA,1.3,1.3,0.3,0.29999999999848,0.75,"linear",-0.2,1,2,41,0.8
"149",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0.3,1.3,1.3,0.3,0.299999999998052,0.6,"linear",-0.2,0.262364264467491,0,NA,-1.68229096946365,0.0263544277200572,NA,2,2,"linear_theta",0,"linear_theta",0.3,0.262364264467491,0,NA,-1.67006784119298,0.0261629426818743,NA,1.3,1.3,0.3,0.29999999999848,0.75,"linear",-0.2,2,2,50,0.8
"152",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0.3,1.3,1.3,0.3,0.299999999998052,0.6,"linear",-0.2,0.372363821053877,-0.00583337578674481,NA,-1.68229096946365,0.0263544277200572,NA,2,2,"linear_theta",0.3,"linear_theta",0.3,0.369693968947247,-0.00579155042737201,NA,-1.67006784119298,0.0261629426818743,NA,1.3,1.3,0.3,0.29999999999848,0.75,"linear",-0.2,2,2,51,0.8
"155",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0.3,1.3,1.29999999999014,0.3,0.299999999999047,0.6,"linear",-0.2,0.170146156262604,0.00518211643439404,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,2,3,"linear_theta",-0.3,"quadratic_theta",0.3,0.17153105632182,0.00522429613162904,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.29999999999106,0.3,0.299999999999047,0.75,"linear",-0.2,2,3,49,0.8
"156",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.377504039146773,-0.0241022058804771,0.000777490512273453,-0.69472137700259,-0.100033424519049,0.00322688466190481,3,3,"quadratic_theta",-0.3,"quadratic_theta",0.3,0.377504039146773,-0.0241022058804771,0.000777490512273453,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,3,3,52,0.8
"157",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.262364264467491,NA,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1,3,"constant",0,"quadratic_theta",0.3,0.262364264467491,NA,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,1,3,41,0.8
"158",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.262364264467491,0,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,2,3,"linear_theta",0,"quadratic_theta",0.3,0.262364264467491,0,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,2,3,51,0.8
"159",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.262364264467491,0,0,-0.69472137700259,-0.100033424519049,0.00322688466190481,3,3,"quadratic_theta",0,"quadratic_theta",0.3,0.262364264467491,0,0,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,3,3,57,0.8
"161",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.360140370838448,-0.00564188570504096,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,2,3,"linear_theta",0.3,"quadratic_theta",0.3,0.356941758559478,-0.00559177689649314,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,2,3,49,0.8
"162",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.15387255040673,0.022156217825161,-0.000714716704037451,-0.69472137700259,-0.100033424519049,0.00322688466190481,3,3,"quadratic_theta",0.3,"quadratic_theta",0.3,0.15387255040673,0.022156217825161,-0.000714716704037451,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,3,3,58,0.8
"173",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999655,0.6,"sine",-0.2,0.183489759400185,0.00558852059086858,NA,-0.829243282842297,-0.0252561405941816,NA,2,2,"linear_theta",-0.3,"linear_theta",-0.3,0.183721052238502,0.00559556504279701,NA,-0.830238719024449,-0.0252864584474451,NA,1.3,1.3,0.3,0.299999999999634,0.75,"sine",-0.2,2,2,51,0.8
"175",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999655,0.6,"sine",-0.2,0.262364264467491,NA,NA,-0.829243282842297,-0.0252561405941816,NA,1,2,"constant",0,"linear_theta",-0.3,0.262364264467491,NA,NA,-0.830238719024449,-0.0252864584474451,NA,1.3,1.3,0.3,0.299999999999634,0.75,"sine",-0.2,1,2,41,0.8
"176",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999655,0.6,"sine",-0.2,0.262364264467491,0,NA,-0.829243282842297,-0.0252561405941816,NA,2,2,"linear_theta",0,"linear_theta",-0.3,0.262364264467491,0,NA,-0.830238719024449,-0.0252864584474451,NA,1.3,1.3,0.3,0.299999999999634,0.75,"sine",-0.2,2,2,51,0.8
"179",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",-0.3,1.3,1.2999999999923,0.3,0.299999999999655,0.6,"sine",-0.2,0.33421047707525,-0.00523567327010835,NA,-0.829243282842297,-0.0252561405941816,NA,2,2,"linear_theta",0.3,"linear_theta",-0.3,0.333812399238609,-0.00522943706379022,NA,-0.830238719024449,-0.0252864584474451,NA,1.3,1.29999999999216,0.3,0.299999999999634,0.75,"sine",-0.2,2,2,47,0.8
"182",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",-0.3,1.3,1.29999999999546,0.3,0.300000000000101,0.6,"sine",-0.2,0.177145472838715,0.00539529358899641,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",-0.3,"quadratic_theta",-0.3,0.177243909747812,0.00539829166744605,NA,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.2999999999955,0.3,0.300000000000102,0.75,"sine",-0.2,2,3,50,0.8
"183",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.416607810764102,-0.0265988338804163,0.000858026899368269,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",-0.3,"quadratic_theta",-0.3,0.416527942076958,-0.0265937345666573,0.000857862405376041,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.3,0.3,0.300000000000102,0.75,"sine",-0.2,3,3,58,0.8
"184",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,1,3,"constant",0,"quadratic_theta",-0.3,0.262364264467491,NA,NA,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.3,0.3,0.300000000000102,0.75,"sine",-0.2,1,3,41,0.8
"185",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,NA,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.3,0.3,0.300000000000102,0.75,"sine",-0.2,2,3,51,0.8
"186",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,0,0,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,0,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.3,0.3,0.300000000000102,0.75,"sine",-0.2,3,3,58,0.8
"188",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999583,0.3,0.300000000000101,0.6,"sine",-0.2,0.346333386338067,-0.00542558829772428,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",0.3,"quadratic_theta",-0.3,0.34613763334,-0.00542252167112272,NA,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.29999999999579,0.3,0.300000000000102,0.75,"sine",-0.2,2,3,50,0.8
"189",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999404,0.3,0.300000000000101,0.6,"sine",-0.2,0.14198421427318,0.0204444078612823,-0.000659497027783301,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",0.3,"quadratic_theta",-0.3,0.142003720073932,0.0204472165153872,-0.000659587629528619,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.29999999999405,0.3,0.300000000000102,0.75,"sine",-0.2,3,3,55,0.8
"193",0.05,0.2,30,"constant 0.5","constant",0,"constant",0,1.3,1.3,0.3,0.3,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1,1,"constant",0,"constant",0,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1.3,1.3,0.3,0.3,0.75,"sine",-0.2,1,1,42,0.8
"200",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0,1.3,1.29999999999454,0.3,0.300000000000001,0.6,"sine",-0.2,0.176499787241293,0.00537562803780587,NA,-1.20397280432593,0,NA,2,2,"linear_theta",-0.3,"linear_theta",0,0.17669601550186,0.00538160453305159,NA,-1.20397280432593,0,NA,1.3,1.29999999999462,0.3,0.300000000000001,0.75,"sine",-0.2,2,2,51,0.8
"202",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1,2,"constant",0,"linear_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,1,2,42,0.8
"203",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0,"linear_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,2,2,52,0.8
"206",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0,1.3,1.29999999999535,0.3,0.300000000000001,0.6,"sine",-0.2,0.347007048788297,-0.00543614175647462,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0.3,"linear_theta",0,0.346613972436696,-0.00542998390240254,NA,-1.20397280432593,0,NA,1.3,1.29999999999527,0.3,0.300000000000001,0.75,"sine",-0.2,2,2,51,0.8
"209",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0,1.3,1.29999999999454,0.3,0.300000000000001,0.6,"sine",-0.2,0.176499787241293,0.00537562803780587,NA,-1.20397280432593,0,0,2,3,"linear_theta",-0.3,"quadratic_theta",0,0.17669601550186,0.00538160453305159,NA,-1.20397280432593,0,0,1.3,1.29999999999462,0.3,0.300000000000001,0.75,"sine",-0.2,2,3,51,0.8
"210",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.396006735475736,-0.0252835330982535,0.000815597841879144,-1.20397280432593,0,0,3,3,"quadratic_theta",-0.3,"quadratic_theta",0,0.395915862787608,-0.0252777312206282,0.000815410684536394,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,3,3,57,0.8
"211",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,0,1,3,"constant",0,"quadratic_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,1,3,42,0.8
"212",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,0,2,3,"linear_theta",0,"quadratic_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,2,3,52,0.8
"213",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,0,-1.20397280432593,0,0,3,3,"quadratic_theta",0,"quadratic_theta",0,0.262364264467491,0,0,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,3,3,60,0.8
"215",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0,1.3,1.29999999999535,0.3,0.300000000000001,0.6,"sine",-0.2,0.347007048788297,-0.00543614175647462,NA,-1.20397280432593,0,0,2,3,"linear_theta",0.3,"quadratic_theta",0,0.346613972436696,-0.00542998390240254,NA,-1.20397280432593,0,0,1.3,1.29999999999527,0.3,0.300000000000001,0.75,"sine",-0.2,2,3,51,0.8
"216",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.147672857651773,0.0212635196618772,-0.000685919989092811,-1.20397280432593,0,0,3,3,"quadratic_theta",0.3,"quadratic_theta",0,0.147700236729216,0.0212674619946848,-0.000686047161118866,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,3,3,58,0.8
"227",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0.3,1.3,1.29999999999094,0.3,0.299999999999398,0.6,"sine",-0.2,0.169975727064817,0.0051769256974056,NA,-1.6312616455079,0.0255550127233613,NA,2,2,"linear_theta",-0.3,"linear_theta",0.3,0.170157979190292,0.00518247652356221,NA,-1.6293724119626,0.0255254163753932,NA,1.3,1.29999999999107,0.3,0.299999999999428,0.75,"sine",-0.2,2,2,47,0.8
"229",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0.3,1.3,1.3,0.3,0.299999999999398,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.6312616455079,0.0255550127233613,NA,1,2,"constant",0,"linear_theta",0.3,0.262364264467491,NA,NA,-1.6293724119626,0.0255254163753932,NA,1.3,1.3,0.3,0.299999999999428,0.75,"sine",-0.2,1,2,41,0.8
"230",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0.3,1.3,1.3,0.3,0.299999999999398,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.6312616455079,0.0255550127233613,NA,2,2,"linear_theta",0,"linear_theta",0.3,0.262364264467491,0,NA,-1.6293724119626,0.0255254163753932,NA,1.3,1.3,0.3,0.299999999999428,0.75,"sine",-0.2,2,2,50,0.8
